osEntrezA,osEntrezB
22628,26554
22628,20430
22628,50884
19046,26554
230908,71902
22629,26554
16211,71902
18412,17920
59003,211652
71745,94090
71745,233204
26554,320191
26554,67839
26554,242274
26554,56422
18673,26554
18750,20510
16490,53321
12349,26965
103573,56422
108071,26556
103573,233204
103573,83814
103573,56443
103573,67839
103573,72572
103573,245666
103573,18412
18472,56455
103573,27373
103573,104318
103573,93687
14580,11773
103573,76846
103573,18749
103573,18747
103573,16898
103573,13405
103573,18570
14768,22631
18128,13854
76846,606496
110355,109689
110355,23980
15502,59024
22201,26554
22201,22631
11771,13854
13542,103573
13542,104318
13542,109689
11740,71902
67160,26554
67160,71745
67160,26965
67160,230908
22321,26554
93687,19155
14828,11465
14828,22631
14828,14580
12759,19280
14104,16568
606496,67863
14682,16423
211652,22284
13510,71745
22631,69807
22631,230908
22631,26965
22631,71745
22631,26554
22631,16211
22631,13194
22629,11496
22631,52357
22631,211652
22631,15505
22631,241656
21872,13527
14694,26965
14694,71745
14694,26554
14694,71902
17920,12009
11764,26554
69807,26554
230908,15505
230908,12034
18412,26965
26965,15469
26965,213988
71745,15469
26554,15505
26554,15469
26554,213988
13194,17920
18674,71902
18674,26554
18674,71745
108958,30960
71902,15469
71902,213988
53321,16485
226144,20334
19046,66075
71923,71923
215707,215707
19280,13682
54401,11496
14828,12894
52696,12759
14768,26554
211446,16568
93687,80987
93687,59024
20014,26554
18128,109689
170731,68653
56491,20014
224129,22042
11771,16728
103573,26562
103573,80987
103573,170772
12759,12282
12759,23965
12759,26965
56455,26965
22631,71902
66098,66075
13722,26965
71902,71902
216440,12282
12215,19324
50790,271457
18570,71902
55992,16211
18128,26554
53328,26562
76846,71902
76846,102058
67160,71902
14658,110611
93687,20430
93687,71902
216134,71902
103573,59024
103573,224705
103573,212139
18799,16568
22223,13194
20510,212139
18673,22284
22201,13194
399558,22333
12330,71902
12759,216856
12330,72042
12330,14810
12330,16728
14828,77579
103573,12759
68349,76614
68349,18412
103573,66049
18643,71902
20977,20907
26554,11773
26562,26562
71902,22284
18747,14402
72993,13527
68349,18673
74006,59069
11789,13194
22631,11465
11789,12343
93687,22629
12759,22321
230908,66972
26554,239217
26554,66972
26554,106529
18747,83767
68349,26554
11931,230908
14670,27407
20977,66972
232910,241656
11740,11773
103573,64933
11739,11773
12215,216440
109658,67694
55992,18128
11933,52837
18570,71745
18570,26965
14394,12330
71745,66687
11789,20334
76846,13194
107831,108030
93687,22631
107831,20648
230775,20648
20527,20648
27373,71069
76820,223601
72572,71923
71923,67694
18412,105298
12295,83814
14768,12330
12894,211255
382034,382034
76614,30960
12894,19349
27373,11496
227197,30960
20334,209743
22042,67809
224705,71923
102058,71923
319477,71923
14406,12894
14400,26965
227197,26554
19349,239217
68365,239217
14394,216440
68349,93687
227197,109689
108124,59003
12349,12349
20977,20977
65114,56433
20430,83767
16568,16569
18412,18412
14406,14394
14394,14401
14810,14806
74006,74006
13405,13527
216856,216856
21872,245684
18749,245684
19158,245684
18752,245684
242274,245684
76884,83767
50884,20430
245684,21960
245684,50932
50884,76884
76884,20430
83814,83814
20907,20907
69807,69807
319387,399558
13542,13542
58998,58998
50884,83767
14810,14810
230908,230908
14396,14394
14394,110886
14394,14402
14394,14394
12034,12034
16485,16490
22628,22631
71902,26965
13175,13175
26554,26554
14400,14394
12330,12330
14394,14397
14394,14405
18472,18472
22631,22629
22631,54401
56839,11496
19047,19047
26556,26556
13542,13544
14828,12282
14810,13510
14810,18752
14810,26556
14810,11838
22631,26556
108071,26556
27373,27373
18570,18570
14810,77579
14658,268566
14810,108071
67295,19339
14828,14828
19339,19342
14810,72993
14810,21872
18641,14810
11465,72042
50884,13823
18750,26556
241638,26556
18752,20430
19047,20430
22631,245684
22629,26556
320873,76884
77579,26556
20430,103967
